,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7
23,3.0846,6.087554976102789,6.502940894586776,5.959638465009068,6.3589383410157865,6.28572875476761,6.709424463001737,6.082804229518377,6.493713962618707,5.965071617127262,6.375455555252405,5.926661873492288,6.337434369437811,6.186216261275955,6.603050323014102,6.186216261275955,6.603050323014102
24,3.0848,5.876453872976665,6.269266020009835,5.936203928823953,6.337701054128315,6.324775260557634,6.7533220060617225,6.240658089902137,6.662276639897247,6.182486476939193,6.601977932950785,6.205846236289059,6.6210945551417755,5.956931040738576,6.354744447548119,5.956931040738576,6.354744447548119
25,3.085,5.763088477265336,6.151621731979076,5.866767365866907,6.267810593130581,5.979167830714129,6.393747466735886,6.170716767051031,6.576914921212909,6.088059378211466,6.506310713087862,5.815849157613754,6.208264570795931,6.161273103945577,6.583582461646889,6.161273103945577,6.583582461646889
26,3.0852,5.98956434776635,6.404502230693783,6.253929289980489,6.674151403597602,5.95886083691696,6.367425694076911,6.257087502483886,6.675452129654519,6.038430715171609,6.445716271221623,5.910972681466693,6.313851025619187,6.120080928699435,6.537937495773869,6.120080928699435,6.537937495773869
27,3.0854,6.148795274696889,6.561182485712002,6.057420952884109,6.468949740161111,5.839209398779965,6.241931135639537,6.1285133821827875,6.541940055549467,6.125744011837227,6.527437218411248,6.102630599204809,6.514503668082941,6.278221313412392,6.70113959593521,6.278221313412392,6.70113959593521
28,3.0856,6.049876250968124,6.452423930180183,6.097944433036017,6.50729779360059,5.915274219336703,6.314653706933803,5.826768477669214,6.216356863457969,5.920178408993882,6.320652618085766,6.172403816000762,6.595771433917351,6.081370399574743,6.4861042065870285,6.081370399574743,6.4861042065870285
29,3.0858,5.933304960576177,6.336923234148866,6.064207298568602,6.470672675808077,6.075955225089966,6.486523877062302,6.104130580745975,6.519364400464617,6.142128409870975,6.556068230279182,6.2703407976304195,6.699333218755245,6.04241696433475,6.458050177346288,6.04241696433475,6.458050177346288
30,3.0860000000000003,6.2213235297049625,6.643932188350146,5.853178288683266,6.255408068065437,6.0555434736445255,6.464893984569801,6.121814029087481,6.540813141061897,5.899518287289639,6.295715890952166,6.029523869064105,6.439737415522758,6.24813743949151,6.677269382658155,6.24813743949151,6.677269382658155
31,3.0862000000000003,6.107441522477213,6.514175300205565,5.79624722566579,6.1800438485011275,6.157707472715,6.579495238934797,6.493152899989269,6.9312548019354505,5.938148073235505,6.342370788472075,5.82952390570309,6.219476478701963,6.147634421167761,6.5735929439818985,6.147634421167761,6.5735929439818985
32,3.0864000000000003,6.026772309829145,6.429732866654841,5.885943659400449,6.289663691401287,6.1191570014140595,6.535021139699301,6.1634667745691845,6.578953368123115,6.043626644373165,6.450129512083598,6.26005177230002,6.687195073424141,5.985961704204658,6.402839283748886,5.985961704204658,6.402839283748886
33,3.0866000000000002,6.0837615389844,6.496291392301474,6.11451308285588,6.533505004458986,5.802162918891885,6.196010139972804,6.249138220237284,6.67713106606069,6.040980470118985,6.452098797367706,6.193395427269732,6.609467396028222,6.116065816565377,6.526957172564781,6.116065816565377,6.526957172564781
34,3.0868,5.995552519877682,6.399931379154786,5.884146138608616,6.282412372312014,6.185841964223482,6.60639663861378,5.916469795787054,6.322239513444872,6.0020833810593555,6.411953866650847,6.097547719071439,6.512982688512191,6.319630513775452,6.744517818166224,6.319630513775452,6.744517818166224
35,3.087,5.831025970461873,6.227520852552547,5.909653607901521,6.308170388453416,6.131761364746455,6.541813792137167,6.255847754506639,6.68151806799249,6.1322870112453405,6.557239394281472,6.039072098287759,6.446771224021107,5.634863297463641,6.020119376632857,5.634863297463641,6.020119376632857
36,3.0872,5.8611745008786995,6.254890903809256,5.8176285031345305,6.206281428725141,5.982877839627946,6.383898780112901,6.241068218165627,6.673337012350028,6.2618294418494775,6.683161338840359,6.235363999660846,6.679102672821536,6.168910657431185,6.584375409689864,6.168910657431185,6.584375409689864
37,3.0874,6.185459180196123,6.6010878729426805,5.9864765228324845,6.391373931260219,6.160215429338518,6.587423915921538,6.020216089869597,6.418565881181656,5.860120282473448,6.256502136558011,6.061096561901048,6.472528581558783,6.11699634028327,6.526734228596405,6.11699634028327,6.526734228596405
38,3.0876,6.112189867427915,6.52659878848623,5.937506871082175,6.342091217360925,6.028869368001666,6.442349684694365,6.196214221289249,6.6203233608518115,6.164020341522386,6.583722915959588,5.966464001327981,6.3728643300113275,6.223362947064131,6.639511759763484,6.223362947064131,6.639511759763484
39,3.0878,5.659511765597998,6.044613204568332,6.148000292172245,6.5691059026418595,6.029579052377081,6.442176927147019,5.8823120982373975,6.290280294477291,6.202394403890125,6.619416181165061,6.315082830068174,6.747808978714753,6.0680945426538395,6.480990761457135,6.0680945426538395,6.480990761457135
40,3.088,6.09417770210856,6.5035538936096255,6.091399562632177,6.515870881943496,6.043266285233841,6.452775443530758,6.190701098615888,6.6148895691207,5.640043949334047,6.017577113549665,5.823079693652458,6.214433193564597,5.659372876653198,6.037155869205992,5.659372876653198,6.037155869205992
41,3.0882,5.9203274261685195,6.321889590007838,5.868995695820775,6.2718192858797845,6.097519360906556,6.510226663428952,6.107409536634029,6.526152881295353,6.035981215016032,6.452992271320871,6.159068161117175,6.57612269140014,6.01459377927411,6.421881547326495,6.01459377927411,6.421881547326495
42,3.0884,5.828710175605292,6.229391973422823,5.830370980964621,6.228062813071791,6.010200771345215,6.425960460961522,6.079621215781157,6.505324074377801,5.89738421953962,6.312464782411084,6.110691442926816,6.531755776672151,6.01460203396121,6.421391976452589,6.01460203396121,6.421391976452589
