,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5
35,3.087,6.249435588886245,6.649376399600329,6.323878820285628,6.73519465372585,6.38727887941799,6.785557023660877,6.134087789802316,6.518600622026732,6.181048647255424,6.56934056299043,6.181048647255424,6.56934056299043
36,3.0872,6.400485893237637,6.793409183054706,6.2889195877925435,6.687082327548567,6.058649615306536,6.437359072401358,6.386740321131111,6.790978165371378,6.221287313183253,6.609421923381289,6.221287313183253,6.609421923381289
37,3.0874,6.128542196441436,6.512038357264843,6.2083727349728,6.596468236832786,6.0564497328075815,6.440186992501245,5.889931366532816,6.258124111282227,6.301200686246047,6.695810520433272,6.301200686246047,6.695810520433272
38,3.0876,6.16695068067037,6.557441558323413,5.790438412980879,6.158234178051905,6.1928913374667465,6.601381825397348,6.529405877539558,6.938772882143476,6.216317157303179,6.604334272625823,6.216317157303179,6.604334272625823
39,3.0878,6.538499326830252,6.950863879883284,6.203613970424534,6.5994184069525454,6.109329912683705,6.5005306108463685,6.463489503113316,6.873537318202111,6.274220214648241,6.664068018521996,6.274220214648241,6.664068018521996
40,3.088,5.999196769117934,6.3857165933728135,6.239145537621668,6.642304074953161,6.117806143705265,6.510208109265388,6.068807688872095,6.453528508419724,6.190824635482224,6.591855430734416,6.190824635482224,6.591855430734416
41,3.0882,6.1948876855747885,6.591102815444935,6.216410218153123,6.604757476120345,6.2858330687602475,6.691873642922181,6.1260869392403325,6.521421797606017,6.087809583334245,6.487425369531327,6.087809583334245,6.487425369531327
42,3.0884,6.355768296269612,6.7669669790981715,6.248729703027139,6.665766539630215,6.389572644500746,6.80682328678692,6.184692497568811,6.582204755532318,5.980845577347296,6.362901738329179,5.980845577347296,6.362901738329179
43,3.0886,5.9050939169457255,6.29191253089707,6.159274338648464,6.555468523220843,6.266492617988688,6.6711470102990145,6.331545141947204,6.746543094887015,6.3713447783798856,6.783474886663102,6.3713447783798856,6.783474886663102
44,3.0888,6.357959255295402,6.768229645354218,6.52906287966264,6.954410869322507,6.238797852564472,6.639742510214371,6.041602854503902,6.433575300215301,6.318707615855318,6.736277128942538,6.318707615855318,6.736277128942538
45,3.089,6.265353833249772,6.661778952724336,5.99927754783945,6.377686486465561,6.134416692746848,6.53543600381093,6.234349647234888,6.633875485680253,6.345029565478534,6.750601431401254,6.345029565478534,6.750601431401254
46,3.0892,6.2629723926084235,6.6721600766756275,5.862336980717788,6.243499060670189,6.226100962648546,6.6202864137907,6.293957454004916,6.705789869188623,6.059077815595316,6.451552856266395,6.059077815595316,6.451552856266395
47,3.0894,6.2664878280544585,6.665316066579979,6.081780352121488,6.4731018678821695,6.255735605628266,6.655938484608868,6.4044765793898275,6.822792009656671,6.220398813850907,6.616054258254563,6.220398813850907,6.616054258254563
48,3.0896,6.369191137469837,6.785707149847647,6.236713817314363,6.636641460844561,5.945784213806843,6.325257238970875,6.173688546486169,6.572100191674509,6.10851901385805,6.504307380242638,6.10851901385805,6.504307380242638
49,3.0898,6.153141330933822,6.545069822634685,6.209490554698371,6.6099588467150685,5.979285622771002,6.358370745638632,6.674432818497811,7.1021117829288345,6.5007024045764705,6.918663181258117,6.5007024045764705,6.918663181258117
50,3.09,6.405219002080806,6.807874540560342,6.248598183212169,6.644223671168343,6.275947544839378,6.677570361768996,6.479818358833352,6.89113340159387,6.539952661931842,6.946824054508499,6.539952661931842,6.946824054508499
51,3.0902000000000003,6.23411523381969,6.64201918144682,6.231294436101179,6.630600837746376,6.118965258082613,6.504356404469124,6.4749641328042,6.894587766021218,6.308145721001576,6.7153032352180695,6.308145721001576,6.7153032352180695
52,3.0904000000000003,5.814848749401526,6.190325879393973,6.123287006019681,6.517375659091991,6.432448473757457,6.848904901342485,6.270768419568516,6.678315999161485,6.169051519231622,6.558222675647824,6.169051519231622,6.558222675647824
53,3.0906000000000002,5.837651246890359,6.212445944800573,6.5238002569456865,6.938889740614501,6.038921947761999,6.425381546904478,6.08330715162224,6.476543032860084,6.423279974179427,6.838630375445784,6.423279974179427,6.838630375445784
54,3.0908,6.217714531518727,6.617446086609539,6.0087014600805215,6.407640965607546,6.291408913120365,6.693491476914722,6.407262422080711,6.822756169724961,6.324093603091722,6.723611882186823,6.324093603091722,6.723611882186823
55,3.091,6.25388328690931,6.670431613451365,6.217907596379102,6.613121404544347,6.513039304603759,6.934725707342558,6.231866038883973,6.633343211713185,6.126192743959613,6.51166827597569,6.126192743959613,6.51166827597569
