,Tau,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
54,2.7920000000000005e-06,2.917492037100156,2.91635855782643,2.935920363433019,2.9361199487364775,2.930795814899841,2.9295611377149635,1.7553021511162956,1.7410285924174005,1.3727483554555298,1.3635378019155118
55,2.84e-06,2.9165303446320627,2.9174773572317307,2.937724747542574,2.938053640853715,2.9304741046334275,2.930558123545584,1.778926203758344,1.7877041670580975,1.4125974491921227,1.4686972298022585
56,2.888e-06,2.9145032636474912,2.913301693967629,2.9364628969529805,2.931966461241249,2.932185098831749,2.9309626033547427,1.7718445502228182,1.7776587340337455,1.4531552433637083,1.4340038952437977
57,2.9360000000000003e-06,2.9187229656638416,2.913978845961394,2.932928778422336,2.9335406510541597,2.931125019278019,2.928362691658065,1.7851254928260665,1.73403501875567,1.4430164302786894,1.411064184142069
58,2.9840000000000006e-06,2.9123693614269786,2.91441081074313,2.9318115408572307,2.9351954245998515,2.930615282846806,2.930585610263406,1.761726031427458,1.7849006148583861,1.4240399859753994,1.4258249816032191
59,3.032e-06,2.916676831746223,2.9126142358066125,2.936221458414922,2.9354196839412525,2.9317331445889576,2.9308367307649172,1.7700642257574108,1.810415860400025,1.4226947270892878,1.3878411883011934
60,3.08e-06,2.9138005001350846,2.9119080366366807,2.932697022901614,2.934345861673502,2.926286574286886,2.927478459936042,1.8114390925722201,1.7793178848707176,1.389346653928392,1.3663775880212552
61,3.1280000000000004e-06,2.915032677923789,2.913907944964304,2.9337389865048324,2.9342115560370075,2.928347076006288,2.927000580849147,1.773036123503699,1.7777352588937587,1.4377697616232858,1.4143762318517814
62,3.1760000000000006e-06,2.9136318370180234,2.9105168779103434,2.9349717892036207,2.9296286023014946,2.9296767039856455,2.9251724595279356,1.7952231012558701,1.7639411263760243,1.4153379173927951,1.3909967456283356
63,3.224e-06,2.9127029399956954,2.9113989236683104,2.935615520524254,2.931841837271116,2.928626618968716,2.929136981413282,1.7928502611076085,1.7613871475881446,1.4271293108991012,1.437449915752313
