,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
131,3.6479999999999997,740.2999,773.5977,735.1057,768.0727,739.0231,770.2506,739.4166,769.7019
132,3.6559999999999997,741.4694,773.8035,738.5879,769.793,738.9903,768.2748,738.9132,769.3311
133,3.6639999999999997,742.3793,773.9163,739.0425,770.6,738.9046,770.5833,738.1431,770.1172
134,3.6719999999999997,742.6593,771.3132,740.5954,770.943,739.034,769.4014,740.3494,771.0359
135,3.6799999999999997,740.1022,771.0063,744.4535,776.959,742.2682,771.8993,733.2286,761.2651
136,3.6879999999999997,740.344,773.7758,741.0571,771.4173,739.2488,770.7913,731.5602,764.7297
137,3.6959999999999997,737.8504,767.291,742.6878,773.8216,740.859,768.5735,739.5026,770.6062
138,3.7039999999999997,737.0525,767.8472,736.5625,766.6828,738.5522,773.186,738.8131,769.9074
139,3.7119999999999997,743.6325,773.3339,739.7484,771.5377,735.4843,769.104,739.0273,769.9293
140,3.7199999999999998,742.8443,773.6707,739.2933,770.2597,737.4177,768.0673,736.2713,765.5828
141,3.7279999999999998,739.2889,770.7573,741.8504,772.0218,735.8414,765.9946,737.037,771.1074
142,3.7359999999999998,738.5614,771.808,740.0476,769.3095,735.9903,767.0936,738.948,770.9231
143,3.7439999999999998,741.3692,771.5614,741.3809,771.7014,736.2899,766.8912,739.4743,769.7759
144,3.752,742.4359,772.4006,738.0273,769.801,733.9704,766.4631,735.2771,766.8598
145,3.76,743.5532,775.0385,740.9834,772.8846,731.29,770.9394,737.1762,767.5607
146,3.768,742.4084,774.2357,738.022,768.2209,738.5948,771.1602,731.8074,753.1416
147,3.776,741.2305,772.0478,741.5505,772.7474,738.2407,767.832,735.6418,775.5961
148,3.784,727.9182,765.6022,740.6564,772.335,738.326,766.9691,736.8261,766.6398
149,3.792,736.3783,768.3824,735.5942,768.1758,737.5533,770.1437,734.6121,768.3681
150,3.8,736.6144,766.7709,738.0239,768.7495,728.0051,765.5512,741.6855,774.2006
