,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
138,3.7039999999999997,747.182,777.0963,745.0602,776.9094,745.0835,775.363,743.0433,777.933
139,3.7119999999999997,746.4194,778.0417,746.31,775.6423,745.1593,774.3362,749.1079,782.0304
140,3.7199999999999998,746.5394,777.0993,748.9947,781.0077,743.2319,774.0152,748.552,776.9386
141,3.7279999999999998,745.6734,777.5123,744.2695,778.002,740.8087,771.7361,745.9636,778.1137
142,3.7359999999999998,747.6237,778.6597,746.0651,778.8266,742.3727,772.3598,745.5853,777.7381
143,3.7439999999999998,746.385,778.3113,745.7319,776.8163,739.3015,770.5275,740.4551,768.5627
144,3.752,746.4213,777.8718,748.5994,778.7446,747.3389,777.8249,747.0317,775.5327
145,3.76,744.8419,774.8468,749.3798,780.1508,742.943,769.8631,745.0934,776.8343
146,3.768,745.5501,779.2867,748.4404,780.5937,745.4481,778.8468,742.8126,771.5037
147,3.776,744.6001,775.1865,746.3239,780.5469,747.5222,777.7924,741.1493,769.7481
148,3.784,739.9172,768.413,744.7417,777.7821,744.2416,775.9143,744.8977,775.5433
149,3.792,736.9087,770.3997,748.9946,779.0824,740.8126,772.7425,737.6725,768.653
150,3.8,737.965,772.857,748.5252,779.6139,742.5194,778.3165,746.1488,776.0929
