,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6
61,2.8915,2.6447234994907274,2.644504316541812,2.605892954793615,2.6056135275638104,2.4926007368512555,2.4912188937038686,2.443432837520152,2.443618626856366,2.4213116565681316,2.420818200869083,2.3774590617171096,2.3774992654018283,2.3774590617171096,2.3774992654018283
62,2.8930000000000002,2.629655211159671,2.6293645223905453,2.5577785203485104,2.5575934024577607,2.5396361461805768,2.5400593164960936,2.4964469508333225,2.496148031805425,2.4177907148380857,2.4173490685722534,2.3521787537569487,2.351351266491378,2.3521787537569487,2.351351266491378
63,2.8945,2.6970350301787245,2.696636319993976,2.53112897205432,2.531843533361693,2.4709386382751446,2.471139672841215,2.4814395392541897,2.4807642136664967,2.3736355675036886,2.3734829525790015,2.3105466755054,2.310349576224359,2.3105466755054,2.310349576224359
64,2.896,2.5994639781634508,2.5991553107337024,2.5190199925272156,2.5192936242263078,2.4732792840771594,2.4730154141753977,2.4394137230284523,2.439771400566051,2.387089691929086,2.3872864616623715,2.344164787863369,2.3445834591444443,2.344164787863369,2.3445834591444443
65,2.8975,2.6403614618565596,2.639883436205723,2.551998452606734,2.552112379503418,2.480190294886546,2.479966612941606,2.470535604714234,2.470290196396658,2.3339191571023146,2.334642088549319,2.3679086117626897,2.3675551819835294,2.3679086117626897,2.3675551819835294
66,2.899,2.666208957170097,2.6666171331479207,2.4712994786253026,2.4713355907448014,2.4802986332074224,2.48047509867301,2.4952438499874936,2.494550655701163,2.3880194034912767,2.3884790126856252,2.371847175406596,2.372295304824482,2.371847175406596,2.372295304824482
67,2.9005,2.6341432162074505,2.6336854803705076,2.567875269973988,2.5686695047083417,2.4599158060046915,2.4597846364553706,2.482001814725333,2.4818894507116482,2.4048614032890945,2.4046264918550047,2.3557180847649253,2.354900406765048,2.3557180847649253,2.354900406765048
68,2.902,2.6694720268896845,2.6696987387720896,2.517623666938729,2.517914183621478,2.4454125282136445,2.445591071093505,2.434804733671245,2.4339985510491955,2.3719894177129834,2.371906011378936,2.3203641403163098,2.3198296517723853,2.3203641403163098,2.3198296517723853
69,2.9035,2.6334076628106184,2.6343093729958067,2.5069777257306938,2.507471540567978,2.4573999494429217,2.458046473854767,2.372394666001827,2.372669828742111,2.3934769628707464,2.393032129424315,2.358831629011486,2.3580919371795535,2.358831629011486,2.3580919371795535
70,2.9050000000000002,2.625574113860257,2.6255989171032668,2.5218892967443227,2.5212209531309893,2.4996294296404367,2.499547709998263,2.410696442070362,2.410146194247006,2.3832551559048434,2.3840793475823734,2.2850739589476814,2.2844749795678814,2.2850739589476814,2.2844749795678814
71,2.9065,2.624535209061144,2.6249613934621348,2.4826534955035577,2.4832046015457996,2.499886665306431,2.5003416668625387,2.45800431272221,2.4573791559093823,2.3518024970072595,2.3508461682248982,2.330726571718052,2.3312721174084947,2.330726571718052,2.3312721174084947
72,2.908,2.6033375458327246,2.6027500774133716,2.523687602247102,2.5237295391076593,2.445007261258019,2.445384823641174,2.4118015600892337,2.411952550085664,2.392614742413417,2.39248360401737,2.287775501637078,2.2889392994710636,2.287775501637078,2.2889392994710636
73,2.9095,2.6112705247670878,2.6117639965239765,2.4736150073371626,2.4738712855990674,2.4575524001973994,2.457721899231299,2.4001424698125984,2.3997416052448064,2.3552578173625145,2.354837115700812,2.270825091277769,2.2707711117294456,2.270825091277769,2.2707711117294456
74,2.911,2.593677837526029,2.5943749825279196,2.514101118275158,2.5133952254669016,2.4977033186492883,2.4977124559957744,2.4011620209916735,2.4017739485453458,2.3225171862621283,2.3226354387873585,2.292188283213408,2.2919876088224616,2.292188283213408,2.2919876088224616
75,2.9125,2.6484237526792467,2.6479415111845475,2.516280179545436,2.5157317286463208,2.4603094530377616,2.4599894639096065,2.4049098878299433,2.4054896548278983,2.3807552398525824,2.3804525250016537,2.323683893082772,2.324169055592267,2.323683893082772,2.324169055592267
76,2.914,2.553750030906863,2.5540756286343287,2.517029802102079,2.516840809737569,2.317211845306117,2.318208705723405,2.389840203608877,2.3895238383349553,2.381094347386745,2.380412493571523,2.294958305392798,2.294906355558021,2.294958305392798,2.294906355558021
77,2.9155,2.6410977065160974,2.6414570259383834,2.410540350675771,2.410697103514655,2.433453752147177,2.4327244632350222,2.352975082334015,2.3530321081116514,2.358329799669367,2.3579844607032636,2.351324263266822,2.3510664700711206,2.351324263266822,2.3510664700711206
78,2.9170000000000003,2.6178131154024946,2.617444410237176,2.521161338086653,2.520786493435668,2.413770828055415,2.4139722223422315,2.3376166387047617,2.3380540372305245,2.3308764602848018,2.3315192976736623,2.328703963578756,2.328430972501386,2.328703963578756,2.328430972501386
79,2.9185,2.647592796700955,2.648801392452525,2.57635181824989,2.576492078707756,2.4329741962222147,2.4332701788250373,2.399377324644011,2.3997973078454677,2.3909671184924073,2.3916614521367903,2.29889146034507,2.299297542422881,2.29889146034507,2.299297542422881
80,2.92,2.5873293010853833,2.5875500623407963,2.556132838041016,2.5558224224155515,2.490286680901944,2.490988621541282,2.325862546651038,2.325749262209517,2.3442188397935118,2.345243970359564,2.3372459972587736,2.3374107790998373,2.3372459972587736,2.3374107790998373
81,2.9215,2.6172864885065352,2.617668376934515,2.468894386468541,2.4686991944041727,2.3988423972440156,2.398314267095162,2.4008086942126354,2.4009681653722637,2.361040962986915,2.361240044231518,2.2326377927206997,2.233587685524808,2.2326377927206997,2.233587685524808
82,2.923,2.607101508501775,2.6067818461428267,2.5451134658634356,2.5455251720735528,2.4970443411741057,2.497310913611023,2.3234932921754945,2.3230716683725694,2.3836614748832585,2.383920986370289,2.3081752361476116,2.307079897326999,2.3081752361476116,2.307079897326999
83,2.9245,2.6375062868154417,2.6369457304498827,2.4655256384966733,2.465747273261966,2.4802430461048943,2.4808845416663337,2.414782641676413,2.41482604731896,2.38674941540594,2.3873409743145197,2.3393414358402156,2.33896888622232,2.3393414358402156,2.33896888622232
84,2.926,2.6401574315986083,2.640911119392542,2.5086985762550853,2.5087625991438967,2.47225121627013,2.471852381327625,2.4467016556365393,2.4471452545330705,2.4095981162651867,2.4096653410663635,2.3174859278127293,2.316855117738279,2.3174859278127293,2.316855117738279
