,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11
64,3.282,1.9977501343325297,1.9979523407926616,1.9589590979134235,1.9591154845897574,1.943772935857662,1.94381132196496,1.9245754415191314,1.924013423706043,1.9172977327193084,1.9177420935615195,1.8828206819061954,1.8831724974471349,1.8478708556745826,1.8485467199557934,1.8319834708971903,1.8323348179109111,1.8173036746779199,1.8174060272644925,1.822459473379733,1.8231750356125251,1.812940808999917,1.8129537084523075,1.8167781649853227,1.8171132392121672
65,3.2824999999999998,2.044878182595832,2.0454451977146415,1.938143575636221,1.9386015854407772,1.8927298382293607,1.8926510983121803,1.952967120575884,1.9528054240459387,1.898788621382301,1.8989316714269473,1.906342645527718,1.9061909125919991,1.8332316314211878,1.8330286441152384,1.8240786847721298,1.825063293225221,1.8743556041789846,1.8740313677595317,1.8304453409388222,1.8300015737248352,1.7758676007400023,1.7765207893570223,1.781509015533714,1.781556740442428
66,3.283,2.026304849495898,2.0261933767095086,1.9387182477102383,1.9377758044521525,1.9200926038715989,1.9202315309811762,1.8571593353124942,1.8567558592945428,1.8177061939366874,1.8182352914154758,1.8391688971096112,1.8390488974573092,1.7830232291351953,1.783680696753038,1.8124883258831865,1.8128194959339632,1.7590779132851975,1.7590890013158955,1.7970439982908222,1.797245142909858,1.8038525404974797,1.8040945073970216,1.7690491246439168,1.7690108319313793
67,3.2835,2.0418297172186564,2.0411164037494296,1.8871751871410587,1.8876019633299919,1.9244430081494055,1.924752314728779,1.9085322335359656,1.9082084657688418,1.904150431798106,1.9044018000144358,1.937297705926156,1.9378183392098982,1.8776033081924455,1.877871417529604,1.870305184622559,1.8707988945278842,1.869532231325116,1.8694070780503167,1.8121885124624968,1.811772262078838,1.8119644716359828,1.8130731088204461,1.7731029562158982,1.7733060059228498
68,3.284,1.961040887794507,1.9622183953474472,1.9801988251622795,1.9806202293740025,1.9446505143423845,1.9444082976347057,1.9196536778680766,1.9195302426486007,1.932467833563924,1.9328337355238905,1.873362297201241,1.8739047627471657,1.8201561917345825,1.8206922853618464,1.8290935562181811,1.829396397335541,1.8890332411973414,1.8882278821209508,1.747996812446728,1.7478518260343425,1.7989673844832075,1.7993292571507071,1.8089979186517886,1.808543250914233
69,3.2845,2.019042475821078,2.0184511609533087,1.9738330506942423,1.9737598078783964,1.9790698652554157,1.9792937479512072,1.9222940135930828,1.9221390010477832,1.8783236342527503,1.8781361076575187,1.8727284490709666,1.8726278142893276,1.8776298447532416,1.8777500317606508,1.8238430581681568,1.8246208688725438,1.8181704127352347,1.8178433341216536,1.8502642879452513,1.85071589473914,1.786466066179148,1.786458882482426,1.83112829606985,1.8318175281572202
70,3.2849999999999997,1.9875944301091069,1.986884271168928,1.9747488852878072,1.9754378053069361,1.9726419910850477,1.972025251936548,1.8913523019138865,1.8912962062822647,1.843571175351577,1.8436966095100245,1.881021468736895,1.8802808570666165,1.8215896132985185,1.8220400020364833,1.8009426005617828,1.8009173636306948,1.8252166484603742,1.825091745289664,1.8490358083187381,1.8483795274838608,1.8038867794809172,1.8040999801912094,1.8064204784944269,1.8075614738863257
71,3.2855,1.9942820467861266,1.994578984960487,1.9516771966004265,1.9515832458676228,1.9858587773233827,1.9859293652409924,1.8877256732805443,1.8874686831672858,1.8671228610968198,1.8672746878333966,1.8344233516406387,1.8342986983546838,1.8494912588818704,1.8497687695520835,1.8235880008195104,1.8225625073914005,1.8100052606053476,1.810650297136714,1.814598466622542,1.8150403598453242,1.8091289970299897,1.8092542751094232,1.7860850807519448,1.7867369888472258
72,3.286,1.995098970207844,1.9952795629652327,1.9661885584671799,1.966412815940279,1.9601183703474534,1.960543428644324,1.9178061790370913,1.9181832937459826,1.8535668743404083,1.8532293013831889,1.8870363157754357,1.8863461776928547,1.8415989365281047,1.8410119318370053,1.8341109437921466,1.8344249666855337,1.8255101839970644,1.825643520417257,1.8411876740275008,1.8413517754028588,1.8105248870420594,1.8101896254241747,1.835234612462161,1.8352326446467504
73,3.2864999999999998,1.956977729187789,1.957044569038942,1.938125407394995,1.938609840826838,1.9180170719075043,1.9177071718865009,1.9296204898410731,1.929077836948221,1.8846496619766728,1.884604841738703,1.9160405892980006,1.9160487100625938,1.8529344876780975,1.853152592164332,1.834396749497738,1.8348324896884112,1.7862691867602944,1.786949517353478,1.8232895302800765,1.8231854598747677,1.8128440536427923,1.8124525090130341,1.7997821441521475,1.8002827253187963
74,3.287,1.955033603901112,1.9543243506854102,1.9378646021961874,1.9375538276009703,1.9641242051331629,1.9640843510432773,1.9149033879757325,1.915407248696183,1.9112767590842272,1.9117119995458598,1.85591754260534,1.8566133964175207,1.8135969628794621,1.813814536272762,1.856797835346885,1.8565968782496631,1.7722426925061592,1.7722520313616348,1.7976117588047316,1.7976567976949118,1.7912627374366792,1.7915132934504618,1.7793314133841003,1.7801947729986969
75,3.2875,1.94389949931733,1.943501895159696,1.9491441586274136,1.9488880740573178,1.9503601711503324,1.95049178962434,1.9023405390570405,1.9028553314909376,1.8721616503772915,1.8720158830337044,1.8614195666097941,1.8608431813488557,1.8561681084276556,1.8575005658369388,1.8059313003211872,1.805149991339388,1.830703893239498,1.830562123865367,1.842187123698693,1.8420024080535085,1.7972721809295151,1.7977244749043029,1.7863898023637617,1.7857793100374144
